ASSEMBLY_STR,PDB_COMPLEX_ID,ASSEMBLY_NAME,ASSEMBLY_TYPE,ASSEMBLIES,NUM_ASSEMBLIES,NUM_COMPONENTS,MEDIAN_WT,MAX_WT
A0A010_2,PDB-CPX-100020,MoeN5,homomeric,"5b00_1,5b00_2,5b01_1,5b01_2,5b01_3,5b01_4,5b01_5",7,2,64.52,65.18
A0A011_2,PDB-CPX-100021,MoeO5,homomeric,"3vk5_1,3vka_1,3vkb_1,3vkc_1,3vkd_1",5,2,63.15,63.56
A0A022MQ12_2,PDB-CPX-100028,Amidohydrolase-related domain-containing protein,homomeric,"6sj0_1,6sj1_1,6sj2_1,6sj3_1,6sj4_1",5,2,113.78,114.64
A0A022MRT4_2,PDB-CPX-100030,AMP-dependent synthetase/ligase domain-containing protein,homomeric,"6six_1,6siy_1,6siz_1",3,2,98.65,98.84
A0A023DFE8_2,PDB-CPX-100031,Metallo-beta-lactamase domain-containing protein,homomeric,"6n9i_1,6n9i_2,6n9q_1,9ayt_1,9ayt_2,9b2i_1,9b2i_2,9b2j_1,9b2j_2,9b2l_1,9b2n_1,9b2n_2,9b2o_1,9b2o_2,9b2p_1,9b2p_2",16,2,70.4,71.83
"A0A023FDY8_1,P80098_1",PDB-CPX-100035,Evasin P974 and C-C motif chemokine 7,heteromeric,"7s58_1,7s58_2,7s58_3,7s58_4",4,2,18.71,18.71
A0A023GPI8_4,PDB-CPX-100040,Lectin alpha chain,homomeric,"4k1y_1,4k1z_1,4k20_1,4k21_1",4,4,104.87,105.35
A0A023PFZ0_3,PDB-CPX-100059,Fusion glycoprotein F0,homomeric,"8v5a_1,8v5k_1,8v62_1",3,3,245.4,246.78
A0A023UGN9_2,PDB-CPX-100064,Beta-galactosidase,homomeric,"6etz_1,6h1p_1,6se8_1,6se9_1,6sea_1,6seb_1,6sec_1,6sed_1,6zjp_1,6zjq_1,6zjr_1,6zjs_1,6zjt_1,6zju_1,6zjv_1,6zjw_1,6zjx_1",17,2,221.55,225.74
A0A023X3Z4_2,PDB-CPX-100068,RsiG-like domain-containing protein,homomeric,"7lq2_1,7lq2_2,7lq2_3,7lq3_1,7lq3_2",5,2,19.54,19.73
A0A024B5J2_5,PDB-CPX-100071,VP1,homomeric,"6y5x_1,6y5x_2,6y5y_1,6y5y_2",4,5,173.75,175.8
A0A024B7W1_180,PDB-CPX-100075,RNA-directed RNA polymerase/Methyltransferase NS5,homomeric,"5h32_1,5uhy_1,5y0a_1,9js7_1",4,180,12731.0,13370.25
"A0A024B7W1_180,A0A024B7W1_180",PDB-CPX-100076,RNA-directed RNA polymerase/Methyltransferase NS5,heteromeric,"5h30_1,5h37_1,5ire_1,5iz7_1,6co8_1,6jfi_1,6lnu_1,7bu8_1,7bua_1,7cbp_1,7kcr_1,7yar_1,9js6_1",13,360,15970.74,19819.67
A0A024B7W1_2,PDB-CPX-100080,RNA-directed RNA polymerase/Methyltransferase NS5,homomeric,"5lbs_1,5lbs_2,5lbv_1,5lcv_1,6nip_1,6niu_1,6niu_2,6um3_1,7a3n_1,7a3u_1,7bq5_1,7m1v_1,8eee_1,9od2_1",14,2,158.83,194.04
"A0A024CX39_3,A0A0K1LUI9_3",PDB-CPX-100087,Hemagglutinin,heteromeric,"6ii4_1,6ii4_2,6ii8_1,6ii9_1",4,6,301.26,304.14
A0A024E3Q2_4,PDB-CPX-100092,Neuraminidase,homomeric,"4mwj_1,4mwq_1,4mwr_1,4mwu_1,4mwv_1",5,4,183.77,183.84
"A0A024FSR7_1,A0A5H1ZR73_1,A0A5H1ZR74_1,A0A5H1ZR95_1,A0ZW40_3,A0ZW41_3,D7NIZ2_1,D7P6B9_1,D7P7X5_10,D7P7X6_1,D7P897_1,D8V7I1_1,D8V7I2_1,D8V7I7_1,H8PGG3_1,K0J903_1,Q4LDE7_1,Q85JD5_1",PDB-CPX-100094,nan,heteromeric,"6rd9_1,6rdc_1,6rdh_1,6rdi_1,6rdk_1,6rdl_1,6rdn_1,6rdo_1,6rdq_1,6rdr_1,6rdt_1,6rdu_1,6rdw_1,6rdx_1,6rdz_1,6re0_1,6re2_1,6re3_1,6re5_1,6re6_1,6re8_1,6re9_1,6reb_1,6rec_1,6ree_1,6ref_1,6rep_1,6res_1,6ret_1",29,31,881.1,881.23
"A0A024FSR7_1,A0A5H1ZR73_1,A0A5H1ZR95_1,A0ZW40_1,D7NIZ2_1,D7P6B9_1,D7P897_1,D8V7I1_1,D8V7I2_1,D8V7I7_1,H8PGG3_1,K0J903_1,Q85JD5_1",PDB-CPX-100095,nan,heteromeric,"6rda_1,6rdd_1,6rdf_1",3,13,380.96,380.98
"A0A024UZE1_1,Q8IKV6_1",PDB-CPX-100115,Rhoptry neck protein 2 and Apical membrane antigen 1,heteromeric,"4z09_1,4z0d_1,4z0e_1,4z0f_1",4,2,39.93,39.96
A0A024V0B1_6,PDB-CPX-100116,Leucine aminopeptidase,homomeric,"4zx8_1,4zx8_2,4zx9_1,4zx9_2,4zy0_1,4zy0_2,4zy1_1,4zy1_2,4zyq_1,4zyq_2,5cbm_1,5cbm_2",12,6,354.61,356.0
A0A024X378_2,PDB-CPX-100119,Lysine--tRNA ligase,homomeric,"8k9s_1,8k9u_1,8k9v_1,8k9w_1,8k9x_1",5,2,120.95,121.13
"A0A031WFC4_18,A0A1X9JZ99_6,A0A9Q7ZU73_18",PDB-CPX-100126,nan,heteromeric,"8v3t_1,8v3z_1,8v40_1",3,42,1098.54,1098.54
"A0A059T4A1_3,A0A059T4A1_3",PDB-CPX-100178,Hemagglutinin,heteromeric,"4qy0_1,4qy0_2,4qy1_1,4qy1_2,4qy1_3,4qy1_4,4qy2_1,4qy2_2,4xq5_1,4xqo_1,4xqu_1,5tgo_1,5tgu_1,5tgv_1,5th0_1,5th1_1,5thb_1,5thc_1,6wf1_1",19,6,169.77,323.38
A0A059VAZ3_5,PDB-CPX-100191,Lon protease,homomeric,"7yph_1,7ypj_1,7yup_1,7yuw_1",4,5,443.92,444.48
A0A059VAZ3_6,PDB-CPX-100192,Lon protease,homomeric,"4ypl_1,4ypm_1,6wqh_1,7ypi_1,7ypk_1,7yut_1,7yux_1",7,6,531.92,538.1
