complex_id,num_assemblies,median_mw_kda,A_BIN,MW_BIN
PDB-CPX-100020,7,64.52,A2_5-8,MW2_60-120
PDB-CPX-100021,5,63.15,A2_5-8,MW2_60-120
PDB-CPX-100028,5,113.78,A2_5-8,MW2_60-120
PDB-CPX-100030,3,98.65,A1_3-4,MW2_60-120
PDB-CPX-100031,16,70.4,A3_9-20,MW2_60-120
PDB-CPX-100035,4,18.71,A1_3-4,MW1_<60
PDB-CPX-100040,4,104.87,A1_3-4,MW2_60-120
PDB-CPX-100059,3,245.4,A1_3-4,MW3_120-300
PDB-CPX-100064,17,221.55,A3_9-20,MW3_120-300
PDB-CPX-100068,5,19.54,A2_5-8,MW1_<60
PDB-CPX-100071,4,173.75,A1_3-4,MW3_120-300
PDB-CPX-100075,4,12731.0,A1_3-4,MW4_>300
PDB-CPX-100076,13,15970.74,A3_9-20,MW4_>300
PDB-CPX-100080,14,158.83,A3_9-20,MW3_120-300
PDB-CPX-100087,4,301.26,A1_3-4,MW4_>300
PDB-CPX-100092,5,183.77,A2_5-8,MW3_120-300
PDB-CPX-100094,29,881.1,A4_21-100,MW4_>300
PDB-CPX-100095,3,380.96,A1_3-4,MW4_>300
PDB-CPX-100115,4,39.93,A1_3-4,MW1_<60
PDB-CPX-100116,12,354.61,A3_9-20,MW4_>300
PDB-CPX-100119,5,120.95,A2_5-8,MW3_120-300
PDB-CPX-100126,3,1098.54,A1_3-4,MW4_>300
PDB-CPX-100178,19,169.77,A3_9-20,MW3_120-300
PDB-CPX-100191,4,443.92,A1_3-4,MW4_>300
PDB-CPX-100192,7,531.92,A2_5-8,MW4_>300
PDB-CPX-100198,7,199.97,A2_5-8,MW3_120-300
PDB-CPX-100199,8,34.51,A2_5-8,MW1_<60
PDB-CPX-100210,4,39.24,A1_3-4,MW1_<60
PDB-CPX-100226,6,72.62,A2_5-8,MW2_60-120
PDB-CPX-100227,8,72.84,A2_5-8,MW2_60-120
PDB-CPX-100228,4,72.86,A1_3-4,MW2_60-120
PDB-CPX-100238,8,80.91,A2_5-8,MW2_60-120
PDB-CPX-100241,4,81.82,A1_3-4,MW2_60-120
PDB-CPX-100258,3,74.45,A1_3-4,MW2_60-120
PDB-CPX-100265,4,63.52,A1_3-4,MW2_60-120
PDB-CPX-100277,12,61.08,A3_9-20,MW2_60-120
PDB-CPX-100283,10,85.75,A3_9-20,MW2_60-120
PDB-CPX-100291,3,57.66,A1_3-4,MW1_<60
PDB-CPX-100294,3,67.98,A1_3-4,MW2_60-120
PDB-CPX-100297,3,54.08,A1_3-4,MW1_<60
PDB-CPX-100301,5,183.66,A2_5-8,MW3_120-300
PDB-CPX-100316,4,94.99,A1_3-4,MW2_60-120
PDB-CPX-100317,4,87.94,A1_3-4,MW2_60-120
PDB-CPX-100322,8,217.99,A2_5-8,MW3_120-300
PDB-CPX-100328,3,35.77,A1_3-4,MW1_<60
PDB-CPX-100329,3,33.88,A1_3-4,MW1_<60
PDB-CPX-100341,6,37.97,A2_5-8,MW1_<60
PDB-CPX-100345,10,86.85,A3_9-20,MW2_60-120
PDB-CPX-100356,3,148.04,A1_3-4,MW3_120-300
PDB-CPX-100357,4,55.09,A1_3-4,MW1_<60
PDB-CPX-100358,5,82.95,A2_5-8,MW2_60-120
PDB-CPX-100360,5,552.25,A2_5-8,MW4_>300
PDB-CPX-100361,6,305.46,A2_5-8,MW4_>300
PDB-CPX-100365,3,74.24,A1_3-4,MW2_60-120
PDB-CPX-100366,5,37.84,A2_5-8,MW1_<60
PDB-CPX-100371,7,59.51,A2_5-8,MW1_<60
PDB-CPX-100377,3,149.73,A1_3-4,MW3_120-300
PDB-CPX-100378,4,148.88,A1_3-4,MW3_120-300
PDB-CPX-100383,4,106.66,A1_3-4,MW2_60-120
PDB-CPX-100401,9,83.91,A3_9-20,MW2_60-120
PDB-CPX-100409,5,95.42,A2_5-8,MW2_60-120
PDB-CPX-100412,3,5215.51,A1_3-4,MW4_>300
PDB-CPX-100415,3,141.87,A1_3-4,MW3_120-300
PDB-CPX-100439,12,49.35,A3_9-20,MW1_<60
PDB-CPX-100440,3,87.73,A1_3-4,MW2_60-120
PDB-CPX-100451,3,103.58,A1_3-4,MW2_60-120
PDB-CPX-100462,3,156.37,A1_3-4,MW3_120-300
PDB-CPX-100465,3,192.61,A1_3-4,MW3_120-300
PDB-CPX-100471,3,43.85,A1_3-4,MW1_<60
PDB-CPX-100474,17,55.8,A3_9-20,MW1_<60
PDB-CPX-100477,3,109.24,A1_3-4,MW2_60-120
PDB-CPX-100480,9,138.37,A3_9-20,MW3_120-300
PDB-CPX-100481,6,200.86,A2_5-8,MW3_120-300
PDB-CPX-100488,4,165.45,A1_3-4,MW3_120-300
PDB-CPX-100512,3,202.74,A1_3-4,MW3_120-300
PDB-CPX-100513,4,164.98,A1_3-4,MW3_120-300
PDB-CPX-100521,21,524.41,A4_21-100,MW4_>300
PDB-CPX-100524,4,138.26,A1_3-4,MW3_120-300
PDB-CPX-100525,3,38.32,A1_3-4,MW1_<60
PDB-CPX-100538,4,284.48,A1_3-4,MW3_120-300
PDB-CPX-100539,23,33.11,A4_21-100,MW1_<60
PDB-CPX-100540,4,120.9,A1_3-4,MW3_120-300
PDB-CPX-100546,10,48.45,A3_9-20,MW1_<60
PDB-CPX-100547,9,46.81,A3_9-20,MW1_<60
PDB-CPX-100550,4,24.03,A1_3-4,MW1_<60
PDB-CPX-100642,5,215.22,A2_5-8,MW3_120-300
PDB-CPX-100657,6,1732.87,A2_5-8,MW4_>300
PDB-CPX-100689,4,260.82,A1_3-4,MW3_120-300
